tgl,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar
2016-02-01,16715,1447500,436622,819995,328125
2016-03-01,10034,1261019,501290,724017,304890
2016-04-01,23978,1285849,460708,471800,322367
2016-05-01,19295,1260347,390177,597909,326229
2016-06-01,14094,1368864,484511,554022,299728
2016-07-01,15143,645905,284258,902700,216389
2016-08-01,6195,1231018,575773,941400,339013
2016-09-01,4975,1107705,516744,889100,364478
2016-10-01,10265,1298754,560454,910933,297273
2016-11-01,10796,1241174,511805,913706,364234
2016-12-01,12088,1360381,526394,904610,336059
2017-01-01,11050,922069,532884,909750,307523
2017-02-01,3609,935420,436436,880365,358819
2017-03-01,9825,891860,467881,898249,384803
2017-04-01,20159,1087430,338400,896130,375451
2017-05-01,11198,1172478,457625,891581,303534
2017-06-01,13537,1072121,414100,895320,262382
2017-07-01,14510,796042,427339,894344,322320
2017-08-01,8024,1322084,471321,898148,355741
2017-09-01,22852,1254412,527168,880000,333625
2017-10-01,32322,1322084,498413,917070,340236
2017-11-01,15094,1377736,401478,866234,437714
2017-12-01,13161,1202917,415277,862313,412199
2018-01-01,17472,1111787,329289,863361,369879
2018-02-01,6949,1255175,422580,844226,337793
2018-03-01,14744,1332693,432200,764700,408977
2018-04-01,24230,1701832,387417,801700,445273
2018-05-01,15308,1348758,428512,803500,381954
2018-06-01,8974,863650,175117,789967,244455
2018-07-01,22253,1194927,264860,739207,383910
2018-08-01,35232,850260,456699,757900,373650
2018-09-01,11058,751408,309922,752456,340236
2018-10-01,18540,1142940,344966,758900,399432
2018-11-01,33432,1184938,205818,756400,432488
2018-12-01,33628,1065148,113193,755919,287196
2019-01-01,139881,1019566,366379,757067,386220
2019-02-01,26935,1380105,391347,756467,293658
2019-03-01,130350,1449056,318177,795652,364445
2019-04-01,296006,1894263,385245,769767,380144
2019-05-01,30047,1243902,425766,773989,380185
2019-06-01,4235,836749,250413,779776,237091
2019-07-01,8995,1314557,454437,845415,326403
2019-08-01,12298,1155293,537492,799726,367279
2019-09-01,17274,1084870,413194,808301,378402
2019-10-01,26745,1071036,398114,817809,359782
2019-11-01,24205,1051004,391168,808612,411448
2019-12-01,15541,1216842,396298,849451,343495
2020-01-01,31921,799420,137059,846709,365937
2020-02-01,6828,1068660,380434,786345,274704
2020-03-01,7190,1072699,361987,796326,287916
2020-04-01,4554,1019645,348168,783146,291559
2020-05-01,2085,777508,256870,788306,276941
2020-06-01,1460,840160,335423,733800,292014
2020-07-01,1545,972997,310225,768100,231384
2020-08-01,5908,907098,309292,763414,309856
2020-09-01,2119,1035328,291717,764360,347154
2020-10-01,2635,1081286,399873,780376,301966
2020-11-01,500,1084696,459403,796710,331391
2020-12-01,1295,1290995,381560,796173,265159
2021-01-01,3985,1036758,308300,795680,229478
2021-02-01,3765,1032124,374962,794727,228347
2021-03-01,3980,1164819,488817,795053,304731
2021-04-01,4698,1014570,375543,769233,348275
2021-05-01,3991,860561,346318,751914,234333
2021-06-01,5455,1141285,449138,772140,262934
2021-07-01,5547,1097490,477170,792833,250724
2021-08-01,4504,1087576,437478,783715,313831
2021-09-01,9240,1086422,524008,792101,352238
2021-10-01,7938,1191861,417014,809448,351105
2021-11-01,4315,1220772,409393,795072,316021
2021-12-01,12255,902527,343513,786603,280653
2022-01-01,263863,1144591,1049707,76382,309372
2022-02-01,250876,1132084,1018423,72637,301478
2022-03-01,287061,1238287,1355325,87294,370528
2022-04-01,260569,1168349,1110010,98570,301348
2022-05-01,243775,942288,824125,79329,245266
2022-06-01,263140,1204602,1137407,103944,344017
2022-07-01,292376,1207645,1105715,96979,303280
2022-08-01,266837,1200548,1098381,93417,317475
2022-09-01,302592,1208756,1085114,108521,341457
2022-10-01,300932,1236105,1138123,99764,323614
2022-11-01,297060,1221834,1070224,107393,347100
2022-12-01,284692,1188124,1149007,121391,388827
2023-01-01,479110,1139599,1044730,97459,313227
2023-02-01,240617,1099599,1038159,85896,346483
2023-03-01,263363,1284878,1198538,100406,353439
2023-04-01,203094,883828,814954,80798,279158
2023-05-01,244899,1185370,1053374,84568,279624
2023-06-01,245698,1251767,1125038,103588,339373
2023-07-01,244694,1255715,1172207,90231,364765
2023-08-01,268002,1306371,1307881,103413,370282
2023-09-01,270813,1290251,1155310,91824,348912
2023-10-01,240827,1253396,1240552,119400,366231
2023-11-01,230985,1394134,1239097,135951,347181
2023-12-01,234896,1410015,1235185,133966,353342
2024-01-01,207269,1233610,1168359,113738,348200
2024-02-01,200354,1308299,1073522,104691,356205
2024-03-01,263680,1411680,1219197,150591,342935
2024-04-01,203587,1026886,884124,103381,288052
2024-05-01,254043,1447549,1281097,138759,371716
2024-06-01,249401,1345109,1227385,129670,334885
2024-07-01,303149,1280603,1415000,123820,333292
2024-08-01,312111,1333826,1204305,116843,376689
2024-09-01,260670,1337713,1121769,131325,346269
2024-10-01,281800,1412212,1252329,111303,374068
2024-11-01,252596,1126834,1185637,113399,357364
2024-12-01,265937,1353850,1274267,115591,335611
