tgl,Belawan,Tanjung Priok,Tanjung Perak,Makassar
02/01/2017,375494,2128992,777258,821506
03/01/2017,596819,2215173,868734,843687
04/01/2017,521148,2224026,747334,847743
05/01/2017,497821,2234625,1251486,801042
06/01/2017,360074,1775837,1045167,675989
07/01/2017,519447,1433511,970806,740028
08/01/2017,397806,2215045,1127453,807651
09/01/2017,353665,2367966,1369261,740038
10/01/2017,298701,2506729,1178977,796400
11/01/2017,450013,2529015,1307553,961956
12/01/2017,423443,2338701,1344212,869288
01/01/2018,164851,2065048,837514,854931
02/01/2018,126939,2332255,934756,806804
03/01/2018,195447,2347950,1081979,887394
04/01/2018,246742,2909703,925925,904320
05/01/2018,189710,2407562,1078072,873109
06/01/2018,166159,1647797,642654,614751
07/01/2018,303780,2107377,715564,946031
08/01/2018,356361,1834477,971367,841057
09/01/2018,215429,1519792,951053,796400
10/01/2018,345588,2349767,522335,917952
11/01/2018,334866,2000151,431526,931227
12/01/2018,367212,2502699,626176,673865
01/01/2019,2027570,1782690,763726,955433
02/01/2019,1394940,2357625,963027,850568
03/01/2019,1681223,2322323,778714,905635
04/01/2019,5102266,2255435,905739,797987
05/01/2019,358925,2247414,977542,939895
06/01/2019,146661,1491504,730731,511833
07/01/2019,224697,2218937,1042085,920584
08/01/2019,174212,2025535,1222886,900067
09/01/2019,183727,2124941,1006624,915611
10/01/2019,203797,2214079,863922,977696
11/01/2019,249736,2168050,1228228,929802
12/01/2019,231514,2433573,1055338,871776
01/01/2020,237082,1555404,302239,893115
02/01/2020,159124,1999836,908104,730539
03/01/2020,121347,1986025,938236,831283
04/01/2020,124388,1915012,825276,687347
05/01/2020,146175,1390228,738476,575405
06/01/2020,125016,1625923,744198,710749
07/01/2020,145068,1752823,782249,723420
08/01/2020,224551,1709150,777191,809864
09/01/2020,177334,1927670,859974,900932
10/01/2020,229293,1907756,886715,809603
11/01/2020,202826,2037455,990151,867633
12/01/2020,236745,2323101,926155,795464
01/01/2021,257590,1919139,782720,709932
02/01/2021,204641,1820033,863424,745915
03/01/2021,281033,2183947,1048550,802825
04/01/2021,247063,1971823,1186852,904753
05/01/2021,274804,1657561,797193,685547
06/01/2021,252137,2117343,1078270,759788
07/01/2021,216438,2046921,1089741,747717
08/01/2021,156070,1925392,1005279,851391
09/01/2021,192234,2012364,1274525,867256
10/01/2021,228705,2158386,945530,904520
11/01/2021,206369,2214614,938712,924749
12/01/2021,216524,1764381,1067383,762198
01/01/2022,767833,2152201,2586520,662643
02/01/2022,786404,2069765,2429325,642685
03/01/2022,847370,2332398,3017709,831120
04/01/2022,957674,2231218,2627963,657957
05/01/2022,759712,1769531,2039143,567755
06/01/2022,958991,2201975,2818583,715877
07/01/2022,850377,2250734,2560839,707493
08/01/2022,1066678,2616793,2526962,735936
09/01/2022,1066678,2580682,2459345,751944
10/01/2022,943081,2612916,2728840,705998
11/01/2022,1158406,2557807,2446732,737120
12/01/2022,1042150,2598632,2657225,884378
01/01/2023,1521641,2406250,2487487,665450
02/01/2023,940472,2306398,2416284,770613
03/01/2023,949962,2709890,2800860,780805
04/01/2023,815853,1943508,2001475,637078
05/01/2023,879807,2664744,2532748,682987
06/01/2023,846994,2610274,2648914,722058
07/01/2023,990609,2572466,2612588,794235
08/01/2023,1046528,2677100,2778372,827932
09/01/2023,1066522,2577185,2556630,739661
10/01/2023,1043507,2711167,2813483,856688
11/01/2023,1012148,2729811,2810754,740121
12/01/2023,931346,2874719,2853224,767411
01/01/2024,989694,2462863,2644274,711767
02/01/2024,843888,2573560,2503163,788340
03/01/2024,1013241,2680141,2678208,782188
04/01/2024,806319,2115215,2077445,607615
05/01/2024,1083670,2988172,2792063,805633
06/01/2024,943705,2561252,2746579,693851
07/01/2024,1227303,2792389,2863808,816865
08/01/2024,1033512,2855816,2692300,787689
09/01/2024,1036795,3200063,2392938,771755
10/01/2024,1051910,2877348,2864995,853979
11/01/2024,1005560,1833522,2662087,758579
12/01/2024,1090561,2883238,3011303,740710
