tgl,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar
08/01/2017,8024,1322084,471321.33,898148.29,355741
09/01/2017,22852,1254412,527168,880000,333625
10/01/2017,32322,1322084,498413,917070,340236
11/01/2017,15094,1377736,401478,866234,437714
12/01/2017,13161,1202917,415277,862313,412199
01/01/2018,17472,1111787,329289,863361,369879
02/01/2018,6949,1255175,422580,844226,337793
03/01/2018,14744,1332693,432200,764700,408977
04/01/2018,24230,1701832,387417,801700,445273
05/01/2018,15308,1348758,428512,803500,381954
06/01/2018,8974,863650,175117,789967,244455
07/01/2018,22253,1194927,264860,739207,383910
08/01/2018,35232,850260,456699,757900,373650
09/01/2018,11058,751408,309922,752456,340236
10/01/2018,18540,1142940,344966,758900,399432
11/01/2018,33432,1184938,205818,756400,432488
12/01/2018,33628,1065148,113193,755919,287196
01/01/2019,139881,1019566,366379,757067,386220
02/01/2019,26935,1380105,391347,756467,293658
03/01/2019,130350,1449056,318177,795652,364445
04/01/2019,296006,1894263,385245,769767,380144
05/01/2019,30047,1243902,425766,773989,380185
06/01/2019,4235,836749,250413,779776,237091
07/01/2019,8995,1314557,454437,845415,326403
08/01/2019,12298,1155293,537492,799726,367279
09/01/2019,17274,1084870,413194,808301,378402
10/01/2019,26745,1071036,398114,817809,359782
11/01/2019,24205,1051004,391168,808612,411448
12/01/2019,15541,1216842,396298,849451,343495
01/01/2020,31921,799420,137059,846709,365937
02/01/2020,6828,1068660,380434,786345,274704
03/01/2020,7190,1072699,361987,796326,287916
04/01/2020,4554,1019645,348168,783146,291559
05/01/2020,2085,777508,256870,788306,276941
06/01/2020,1460,840160,335423,733800,292014
07/01/2020,1545,972997,310225,768100,231384
08/01/2020,5908,907098,309292,763414,309856
09/01/2020,2119,1035328,291717,764360,347154
10/01/2020,2635,1081286,399873,780376,301966
11/01/2020,500,1084696,459403,796710,331391
12/01/2020,1295,1290995,381560,796173,265159
01/01/2021,3985,1036758,308300,795680,229478
02/01/2021,3765,1032124,374962,794727,228347
03/01/2021,3980,1164819,488817,795053,304731
04/01/2021,4698,1014570,375543,769233,348275
05/01/2021,3991,860561,346318,751914,234333
06/01/2021,5455,1141285,449138,772140,262934
07/01/2021,5547,1097490,477170,792833,250724
08/01/2021,4504,1087576,437478,783715,313831
09/01/2021,9240,1086422,524008,792101,352238
10/01/2021,7938,1191861,417014,809448,351105
11/01/2021,4315,1220772,409393,795072,316021
12/01/2021,12255,902527,343513,786603,280653
01/01/2022,263863,1144591,1049707,76382,309372
02/01/2022,250876,1132084,1018423,72637,301478
03/01/2022,287061,1238287,1355325,87294,370528
04/01/2022,260569,1168349,1110010,98570,301348
05/01/2022,243775,942288,824125,79329,245266
06/01/2022,263140,1204602,1137407,103944,344017
07/01/2022,292376,1207645,1105715,96979,303280
08/01/2022,266837,1200548,1098381,93417,317475
09/01/2022,302592,1208756,1085114,108521,341457
10/01/2022,300932,1236105,1138123,99764,323614
11/01/2022,297060,1221834,1070224,107393,347100
12/01/2022,284692,1188124,1149007,121391,388827
01/01/2023,479110,1139599,1044730,97459,313227
02/01/2023,240617,1099599,1038159,85896,346483
03/01/2023,263363,1284878,1198538,100406,353439
04/01/2023,203094,883828,814954,80798,279158
05/01/2023,244899,1185370,1053374,84568,279624
06/01/2023,245698,1251767,1125038,103588,339373
07/01/2023,244694,1255715,1172207,90231,364765
08/01/2023,268002,1306371,1307881,103413,370282
09/01/2023,270813,1290251,1155310,91824,348912
10/01/2023,240827,1253396,1240552,119400,366231
11/01/2023,230985,1394134,1239097,135951,347181
12/01/2023,234896,1410015,1235185,133966,353342
01/01/2024,207269,1233610,1168359,113738,348200
02/01/2024,200354,1308299,1073522,104691,356205
03/01/2024,263680,1411680,1219197,150591,342935
04/01/2024,203587,1026886,884124,103381,288052
05/01/2024,254043,1447549,1281097,138759,371716
06/01/2024,249401,1345109,1227385,129670,334885
07/01/2024,303149,1280603,1415000,123820,333292
08/01/2024,312111,1333826,1204305,116843,376689
09/01/2024,260670,1337713,1121769,131325,346269
10/01/2024,281800,1412212,1252329,111303,374068
11/01/2024,252596,1126834,1185637,113399,357364
12/01/2024,265937,1353850,1274267,115591,335611
